COUNTRY,COUNTRY_CODE,SEX_CODE,AGEGROUP_CODE,FRACTION_POP,WEIGHTED_DEATHS_100K,AGE_MIDPOINT,WEIGHTED_AGE,GENDER_RATIO
Australia,AUS,FMLE,YEARS0-1,0.006468226,1.60864787,0.5,0.003234113,0.992050357
Australia,AUS,FMLE,YEARS10-14,0.030497119,0.140286749,12,0.365965433,0.992050357
Australia,AUS,FMLE,YEARS1-4,0.025478749,0.219117239,2.5,0.063696872,0.992050357
Australia,AUS,FMLE,YEARS15-19,0.029111621,0.439585473,17,0.494897553,0.992050357
Australia,AUS,FMLE,YEARS20-24,0.031284638,0.52871039,22,0.688262046,0.992050357
Australia,AUS,FMLE,YEARS25-29,0.034849503,0.735324518,27,0.940936587,0.992050357
Australia,AUS,FMLE,YEARS30-34,0.03700907,1.187991156,32,1.184290249,0.992050357
Australia,AUS,FMLE,YEARS35-39,0.035616945,1.77016219,37,1.317826982,0.992050357
Australia,AUS,FMLE,YEARS40-44,0.032245032,2.46029597,42,1.35429136,0.992050357
Australia,AUS,FMLE,YEARS45-49,0.033365922,3.706953911,47,1.568198324,0.992050357
Australia,AUS,FMLE,YEARS50-54,0.031186397,5.463856748,52,1.621692642,0.992050357
Australia,AUS,FMLE,YEARS55-59,0.030875206,8.042991247,57,1.75988676,0.992050357
Australia,AUS,FMLE,YEARS5-9,0.03140498,0.125619921,7,0.219834862,0.992050357
Australia,AUS,FMLE,YEARS60-64,0.028204196,10.50606312,62,1.74866017,0.992050357
Australia,AUS,FMLE,YEARS65-69,0.024612152,14.05600025,67,1.649014212,0.992050357
Australia,AUS,FMLE,YEARS70-74,0.021239565,20.04802523,72,1.529248667,0.992050357
Australia,AUS,FMLE,YEARS75-79,0.014938698,25.52575372,77,1.150279766,0.992050357
Australia,AUS,FMLE,YEARS80-84,0.010814817,35.16005209,82,0.886815008,0.992050357
Australia,AUS,FMLE,YEARS85PLUS,0.012792503,126.7238094,88,1.125740223,0.992050357
Australia,AUS,MLE,YEARS0-1,0.006835997,2.032341913,0.5,0.003417999,0.992050357
Australia,AUS,MLE,YEARS10-14,0.032104772,0.224733407,12,0.385257269,0.992050357
Australia,AUS,MLE,YEARS1-4,0.026877619,0.298341568,2.5,0.067194047,0.992050357
Australia,AUS,MLE,YEARS15-19,0.030468512,0.965851828,17,0.517964703,0.992050357
Australia,AUS,MLE,YEARS20-24,0.032538686,1.678996175,22,0.715851082,0.992050357
Australia,AUS,MLE,YEARS25-29,0.036291185,1.952465766,27,0.979862002,0.992050357
Australia,AUS,MLE,YEARS30-34,0.037072237,2.606178251,32,1.186311579,0.992050357
Australia,AUS,MLE,YEARS35-39,0.035614366,3.46883929,37,1.317731558,0.992050357
Australia,AUS,MLE,YEARS40-44,0.031881864,4.217970635,42,1.339038297,0.992050357
Australia,AUS,MLE,YEARS45-49,0.032752428,6.258989041,47,1.539364128,0.992050357
Australia,AUS,MLE,YEARS50-54,0.030429985,8.359116902,52,1.582359224,0.992050357
Australia,AUS,MLE,YEARS55-59,0.030256832,13.11331119,57,1.724639451,0.992050357
Australia,AUS,MLE,YEARS5-9,0.033086076,0.152195951,7,0.231602535,0.992050357
Australia,AUS,MLE,YEARS60-64,0.026978479,17.4065146,62,1.672665693,0.992050357
Australia,AUS,MLE,YEARS65-69,0.023565738,22.34031932,67,1.578904425,0.992050357
Australia,AUS,MLE,YEARS70-74,0.020226162,31.20087713,72,1.456283647,0.992050357
Australia,AUS,MLE,YEARS75-79,0.013771545,35.68344995,77,1.060408956,0.992050357
Australia,AUS,MLE,YEARS80-84,0.009200022,43.59154528,82,0.754401822,0.992050357
Australia,AUS,MLE,YEARS85PLUS,0.008052152,91.72770116,88,0.708589385,0.992050357
Belgium,BEL,FMLE,YEARS0-1,0.00515862,1.180292298,0.5,0.00257931,0.98003242
Belgium,BEL,FMLE,YEARS10-14,0.027941667,0.1257375,12,0.335299999,0.98003242
Belgium,BEL,FMLE,YEARS1-4,0.02158107,0.224443126,2.5,0.053952675,0.98003242
Belgium,BEL,FMLE,YEARS15-19,0.026809538,0.310990642,17,0.455762148,0.98003242
Belgium,BEL,FMLE,YEARS20-24,0.028063597,0.409728523,22,0.617399144,0.98003242
Belgium,BEL,FMLE,YEARS25-29,0.03110303,0.640722413,27,0.839781804,0.98003242
Belgium,BEL,FMLE,YEARS30-34,0.032191135,0.933542912,32,1.030116317,0.98003242
Belgium,BEL,FMLE,YEARS35-39,0.032696277,1.477871723,37,1.209762251,0.98003242
Belgium,BEL,FMLE,YEARS40-44,0.031993896,2.322756875,42,1.343743647,0.98003242
Belgium,BEL,FMLE,YEARS45-49,0.03269567,4.204663219,47,1.536696511,0.98003242
Belgium,BEL,FMLE,YEARS50-54,0.034140469,6.592524537,52,1.775304381,0.98003242
Belgium,BEL,FMLE,YEARS55-59,0.03430391,11.09388448,57,1.955322867,0.98003242
Belgium,BEL,FMLE,YEARS5-9,0.028107794,0.14616053,7,0.196754559,0.98003242
Belgium,BEL,FMLE,YEARS60-64,0.031598726,16.72204578,62,1.959121009,0.98003242
Belgium,BEL,FMLE,YEARS65-69,0.02807755,20.43203296,67,1.881195834,0.98003242
Belgium,BEL,FMLE,YEARS70-74,0.024686017,27.65574506,72,1.777393238,0.98003242
Belgium,BEL,FMLE,YEARS75-79,0.018001831,32.46630275,77,1.38614101,0.98003242
Belgium,BEL,FMLE,YEARS80-84,0.016435622,57.72354794,82,1.347721002,0.98003242
Belgium,BEL,FMLE,YEARS85PLUS,0.019455816,212.3115889,88,1.712111782,0.98003242
Belgium,BEL,MLE,YEARS0-1,0.005433246,1.592484483,0.5,0.002716623,0.98003242
Belgium,BEL,MLE,YEARS10-14,0.029531274,0.19490641,12,0.35437529,0.98003242
Belgium,BEL,MLE,YEARS1-4,0.022938428,0.289024194,2.5,0.05734607,0.98003242
Belgium,BEL,MLE,YEARS15-19,0.028286487,0.625131372,17,0.480870287,0.98003242
Belgium,BEL,MLE,YEARS20-24,0.029543493,1.264461512,22,0.649956852,0.98003242
Belgium,BEL,MLE,YEARS25-29,0.032214187,1.623595,27,0.869783036,0.98003242
Belgium,BEL,MLE,YEARS30-34,0.032280308,2.111132158,32,1.032969863,0.98003242
Belgium,BEL,MLE,YEARS35-39,0.032695584,2.726811687,37,1.2097366,0.98003242
Belgium,BEL,MLE,YEARS40-44,0.033132698,4.075321817,42,1.391573303,0.98003242
Belgium,BEL,MLE,YEARS45-49,0.034261013,6.262913207,47,1.610267619,0.98003242
Belgium,BEL,MLE,YEARS50-54,0.035384909,9.975005837,52,1.840015266,0.98003242
Belgium,BEL,MLE,YEARS55-59,0.034990865,19.0210343,57,1.994479314,0.98003242
Belgium,BEL,MLE,YEARS5-9,0.029891347,0.191304622,7,0.20923943,0.98003242
Belgium,BEL,MLE,YEARS60-64,0.030969833,27.16673757,62,1.920129651,0.98003242
Belgium,BEL,MLE,YEARS65-69,0.026145461,36.19577646,67,1.751745899,0.98003242
