COUNTRY,COUNTRY_CODE,GHE_CAUSE_TITLE,DEATHS_100K,MAX_DEATHS_100K_BY_CAUSE
Australia,AUS,Acute hepatitis A,0.066670748,1.639222864
Australia,AUS,Acute hepatitis B,0.161147287,1.122784026
Australia,AUS,Acute hepatitis C,0.686491763,4.040365529
Australia,AUS,Acute hepatitis E,0.004887006,0.062235455
Australia,AUS,African trypanosomiasis,0,0
Australia,AUS,Alcohol use disorders,1.503997806,19.18308954
Australia,AUS,Alzheimer disease and other dementias,61.84935829,145.3140144
Australia,AUS,Anxiety disorders,0.005682076,0.09880832
Australia,AUS,Appendicitis,0.099566519,0.816449634
Australia,AUS,Ascariasis,0,0.002125788
Australia,AUS,Asthma,1.813382463,14.35347034
Australia,AUS,Autism and Asperger syndrome,0,0
Australia,AUS,Back and neck pain,0.252580212,1.03728869
Australia,AUS,Benign prostatic hyperplasia,0.283916888,0.698088208
Australia,AUS,Bipolar disorder,0.046407639,0.311177034
Australia,AUS,Bladder cancer,4.711099106,12.40936062
Australia,AUS,Brain and nervous system cancers,6.420241485,9.417595403
Australia,AUS,Breast cancer,13.50828131,23.84548952
Australia,AUS,"Cardiomyopathy, myocarditis, endocarditis",6.235544244,37.05862761
Australia,AUS,Cataracts,0,0.00732221
Australia,AUS,Cervix uteri cancer,1.351572634,7.338243664
Australia,AUS,Chagas disease,0,2.383743573
Australia,AUS,Childhood behavioural disorders,0,0
Australia,AUS,Chlamydia,0,0.023923492
Australia,AUS,Chronic obstructive pulmonary disease,33.66844663,67.18036343
Australia,AUS,Cirrhosis of the liver,5.633067543,33.09986028
Australia,AUS,Collective violence and legal intervention,0.021420292,1.019280727
Australia,AUS,Colon and rectum cancers,24.63977339,45.19724642
Australia,AUS,Congenital anomalies,2.821665475,8.206838102
Australia,AUS,Corpus uteri cancer,2.078632547,5.700744744
Australia,AUS,Cysticercosis,0,0.439060589
Australia,AUS,Dengue,0,2.940242034
Australia,AUS,Depressive disorders,0,0
Australia,AUS,Diabetes mellitus,17.73662176,67.49968832
Australia,AUS,Diarrhoeal diseases,1.166860903,49.06531406
Australia,AUS,Diphtheria,0,0.002799253
Australia,AUS,Drowning,0.699297799,6.632769925
Australia,AUS,Drug use disorders,7.071329434,22.62752694
Australia,AUS,Eating disorders,0,0.006330855
Australia,AUS,Echinococcosis,0,0.208439794
Australia,AUS,Encephalitis,0.012275671,3.512892043
Australia,AUS,Epilepsy,1.126909754,3.696748731
Australia,AUS,Exposure to mechanical forces,0.425438551,4.659577821
Australia,AUS,Falls,12.36475012,24.16802
Australia,AUS,"Fire, heat and hot substances",0.213194868,4.377734097
Australia,AUS,Food-bourne trematodes,0,0
Australia,AUS,Gallbladder and biliary diseases,1.983094536,6.079708372
Australia,AUS,Gallbladder and biliary tract cancer,1.273217226,16.49800858
Australia,AUS,Gastritis and duodenitis,0.058631709,1.203492828
Australia,AUS,Genital herpes,0,0
Australia,AUS,Glaucoma,0.003837751,0.026544346
Australia,AUS,Gonorrhoea,0,0.076992478
Australia,AUS,Gout,0.124610649,0.124610649
Australia,AUS,Gynecological diseases,0,0.266128694
Australia,AUS,HIV/AIDS,0.19410876,19.99594145
Australia,AUS,Hookworm disease,0,0
Australia,AUS,Hypertensive heart disease,6.468519569,49.420361
Australia,AUS,Idiopathic intellectual disability,0.064393414,0.576033465
Australia,AUS,Infertility,0,0
Australia,AUS,Inflammatory bowel disease,0.326749496,1.25256749
Australia,AUS,Interpersonal violence,0.964907444,32.58909698
Australia,AUS,Iodine deficiency,0,0.014237872
Australia,AUS,Iron-deficiency anaemia,0.622384523,2.757924944
Australia,AUS,Ischaemic heart disease,85.4990026,385.755838
Australia,AUS,Kidney cancer,4.3322205,8.667956684
Australia,AUS,Kidney diseases,12.45440702,38.51489827
Australia,AUS,Larynx cancer,0.861841115,4.834506081
Australia,AUS,Leishmaniasis,0,0.20555905
Australia,AUS,Leprosy,0,0.072004938
Australia,AUS,Leukaemia,8.438032623,11.45276744
Australia,AUS,Liver cancer,8.076105927,34.30330752
Australia,AUS,Lower respiratory infections,17.64538892,85.05912474
Australia,AUS,Lymphatic filariasis,0,0.000285464
Australia,AUS,"Lymphomas, multiple myeloma",12.04928371,15.97230104
Australia,AUS,Macular degeneration,0,0
Australia,AUS,Malaria,0,0.569457836
Australia,AUS,Maternal conditions,0.079477646,2.293616954
Australia,AUS,Measles,0,0.870560149
Australia,AUS,Melanoma and other skin cancers,9.201249072,9.201249072
Australia,AUS,Meningitis,0.146782885,2.439126385
Australia,AUS,Mesothelioma,3.166514851,4.128487544
Australia,AUS,Migraine,0,0.013388843
Australia,AUS,Mouth and oropharynx cancers,3.859445523,9.817201835
Australia,AUS,Multiple sclerosis,0.737084739,2.74928565
Australia,AUS,Natural disasters,0,0.234049368
